output_id,alert_id,claim_id,claim_type,asserted_value,evidence_refs,generated_at,draft_source,draft_reference,model_id,processing_run_id
OUT-3f4e3f99,ALERT008,CLM-b6c9297c,unusual_transaction_volume,true,"[""transactions.txn_id=TXN00015"", ""transactions.txn_id=TXN00016"", ""transactions.txn_id=TXN00017"", ""transactions.txn_id=TXN00018"", ""transactions.txn_id=TXN00019"", ""transactions.txn_id=TXN00020"", ""customers.expected_monthly_volume=3000.0""]",2026-07-20T03:58:58.215067+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT008,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-064231dd,ALERT008,CLM-8d7acc52,stale_kyc_profile,true,"[""kyc_profile_status.current_within_12mo=False"", ""kyc_profile_status.last_updated=2024-07-14""]",2026-07-20T03:58:58.215080+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT008,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-df57af78,ALERT008,CLM-39ffdee1,missing_kyc_data,edd_review,"[""evidence_items.item_type=edd_review available=False""]",2026-07-20T03:58:58.215086+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT008,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-c18682ce,ALERT009,CLM-3d74433c,stale_kyc_profile,true,"[""kyc_profile_status.current_within_12mo=False"", ""kyc_profile_status.last_updated=2024-10-27""]",2026-07-20T03:59:01.026225+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT009,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-266fd560,ALERT009,CLM-7b4eea8d,unusual_transaction_volume,true,"[""customers.expected_monthly_volume=12000.0"", ""transactions.txn_id=TXN00021"", ""transactions.txn_id=TXN00022"", ""transactions.txn_id=TXN00023"", ""transactions.txn_id=TXN00024"", ""transactions.txn_id=TXN00025"", ""transactions.txn_id=TXN00026"", ""transactions.txn_id=TXN00027""]",2026-07-20T03:59:01.026291+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT009,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-058b1993,ALERT009,CLM-1ee17914,missing_kyc_data,true,"[""evidence_items.item_type=risk_assessment_memo available=False""]",2026-07-20T03:59:01.026327+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT009,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-18df38fa,ALERT010,CLM-bb1605dd,missing_kyc_data,true,"[""evidence_items.item_type=edd_review"", ""evidence_items.available=False""]",2026-07-20T03:59:03.648461+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT010,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-99f49169,ALERT011,CLM-614402eb,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=12000.0"", ""transactions.txn_id=TXN00034"", ""transactions.txn_id=TXN00035"", ""transactions.txn_id=TXN00036"", ""transactions.txn_id=TXN00037"", ""transactions.txn_id=TXN00038""]",2026-07-20T03:59:05.542895+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT011,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-bd28d9e4,ALERT011,CLM-bb9043c3,missing_kyc_data,risk_assessment_memo,"[""evidence_items.item_type=risk_assessment_memo"", ""evidence_items.available=False""]",2026-07-20T03:59:05.542987+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT011,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-9dab5d8c,ALERT012,CLM-ffadf320,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=5000.0"", ""transactions.txn_id=TXN00039"", ""transactions.txn_id=TXN00040"", ""transactions.txn_id=TXN00041"", ""transactions.txn_id=TXN00042"", ""transactions.txn_id=TXN00043"", ""transactions.txn_id=TXN00044"", ""transactions.txn_id=TXN00045"", ""transactions.txn_id=TXN00046"", ""transactions.txn_id=TXN00047"", ""transactions.txn_id=TXN00048"", ""transactions.txn_id=TXN00049""]",2026-07-20T03:59:08.442622+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT012,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-8fd52961,ALERT012,CLM-b58655a9,stale_kyc_profile,true,"[""kyc_profile_status.current_within_12mo=False"", ""kyc_profile_status.last_updated=2024-12-29""]",2026-07-20T03:59:08.442699+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT012,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-6451845b,ALERT012,CLM-8a754a2d,missing_kyc_data,edd_review,"[""evidence_items.item_type=edd_review"", ""evidence_items.available=False""]",2026-07-20T03:59:08.442741+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT012,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-46b186aa,ALERT013,CLM-1d98abbd,stale_kyc_profile,true,"[""kyc_profile_status.current_within_12mo=False"", ""kyc_profile_status.last_updated=2025-02-21""]",2026-07-20T03:59:10.652455+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT013,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-9db49601,ALERT013,CLM-6fc3fe18,unusual_transaction_volume,true,"[""customers.expected_monthly_volume=8000.0"", ""transactions.txn_id=TXN00050"", ""transactions.txn_id=TXN00051"", ""transactions.txn_id=TXN00052"", ""transactions.txn_id=TXN00053"", ""transactions.txn_id=TXN00054"", ""transactions.txn_id=TXN00055"", ""transactions.txn_id=TXN00056"", ""transactions.txn_id=TXN00057"", ""transactions.txn_id=TXN00058"", ""transactions.txn_id=TXN00059"", ""transactions.txn_id=TXN00060""]",2026-07-20T03:59:10.652531+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT013,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-2034c13b,ALERT014,CLM-e504ef9d,stale_kyc_profile,true,"[""kyc_profile_status.current_within_12mo=False"", ""kyc_profile_status.last_updated=2025-02-21""]",2026-07-20T03:59:14.037223+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT014,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-41985822,ALERT014,CLM-897d5ed2,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=8000.0"", ""transactions.txn_id=TXN00050"", ""transactions.txn_id=TXN00051"", ""transactions.txn_id=TXN00052"", ""transactions.txn_id=TXN00053"", ""transactions.txn_id=TXN00054"", ""transactions.txn_id=TXN00055"", ""transactions.txn_id=TXN00056"", ""transactions.txn_id=TXN00057"", ""transactions.txn_id=TXN00058"", ""transactions.txn_id=TXN00059"", ""transactions.txn_id=TXN00060""]",2026-07-20T03:59:14.037290+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT014,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-d4330449,ALERT015,CLM-70c6d416,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=3000.0"", ""transactions.txn_id=TXN00063"", ""transactions.txn_id=TXN00064"", ""transactions.txn_id=TXN00067"", ""transactions.txn_id=TXN00069""]",2026-07-20T03:59:16.114790+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT015,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-a1086f0e,ALERT015,CLM-2ce00639,missing_kyc_data,risk_assessment_memo,"[""evidence_items.item_type=risk_assessment_memo"", ""alerts.alert_id=ALERT015""]",2026-07-20T03:59:16.114815+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT015,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-3593316d,ALERT016,CLM-761a340c,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=3000.0"", ""transactions.txn_id=TXN00063"", ""transactions.txn_id=TXN00067"", ""transactions.txn_id=TXN00064""]",2026-07-20T03:59:19.291994+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT016,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-b114fc9b,ALERT016,CLM-1cefc8a0,unusual_transaction_volume,true,"[""transactions.txn_id=TXN00061"", ""transactions.txn_id=TXN00062"", ""transactions.txn_id=TXN00063"", ""transactions.txn_id=TXN00064"", ""transactions.txn_id=TXN00065"", ""transactions.txn_id=TXN00066"", ""transactions.txn_id=TXN00067"", ""transactions.txn_id=TXN00068"", ""transactions.txn_id=TXN00069""]",2026-07-20T03:59:19.292053+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT016,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-81cac482,ALERT016,CLM-bb8a7594,missing_kyc_data,true,"[""evidence_items.item_type=edd_review available=False""]",2026-07-20T03:59:19.292085+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT016,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-444aba33,ALERT017,CLM-d7d324fb,stale_kyc_profile,true,"[""kyc_profile_status.current_within_12mo=False"", ""kyc_profile_status.last_updated=2025-04-21""]",2026-07-20T03:59:21.614021+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT017,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-1803efcf,ALERT017,CLM-caa3f763,unusual_transaction_volume,true,"[""customers.expected_monthly_volume=8000.0"", ""transactions.txn_id=TXN00070"", ""transactions.txn_id=TXN00071"", ""transactions.txn_id=TXN00072"", ""transactions.txn_id=TXN00073"", ""transactions.txn_id=TXN00074"", ""transactions.txn_id=TXN00075""]",2026-07-20T03:59:21.614095+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT017,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-f4dae24f,ALERT017,CLM-092d2007,missing_kyc_data,true,"[""evidence_items.item_type=risk_assessment_memo available=False""]",2026-07-20T03:59:21.614132+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT017,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-3d127edf,ALERT018,CLM-bb131291,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=8000.0"", ""transactions.txn_id=TXN00076"", ""transactions.txn_id=TXN00077"", ""transactions.txn_id=TXN00078"", ""transactions.txn_id=TXN00081"", ""transactions.txn_id=TXN00082"", ""transactions.txn_id=TXN00083"", ""transactions.txn_id=TXN00084""]",2026-07-20T03:59:25.239067+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT018,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-548fa8ea,ALERT018,CLM-7e80bab3,unusual_transaction_volume,true,"[""customers.expected_monthly_volume=8000.0"", ""transactions.txn_id=TXN00076"", ""transactions.txn_id=TXN00077"", ""transactions.txn_id=TXN00078"", ""transactions.txn_id=TXN00081"", ""transactions.txn_id=TXN00082"", ""transactions.txn_id=TXN00083"", ""transactions.txn_id=TXN00084""]",2026-07-20T03:59:25.239132+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT018,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-5a21c2e9,ALERT018,CLM-f83cc605,missing_kyc_data,edd_review,"[""evidence_items.item_type=edd_review"", ""evidence_items.available=False""]",2026-07-20T03:59:25.239166+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT018,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-048bb481,ALERT019,CLM-82e2a103,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=8000.0"", ""transactions.txn_id=TXN00076"", ""transactions.txn_id=TXN00077"", ""transactions.txn_id=TXN00078"", ""transactions.txn_id=TXN00081"", ""transactions.txn_id=TXN00082"", ""transactions.txn_id=TXN00083"", ""transactions.txn_id=TXN00084""]",2026-07-20T03:59:28.469647+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT019,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-69af7b21,ALERT019,CLM-4f8eef17,unusual_transaction_volume,true,"[""transactions.txn_id=TXN00076"", ""transactions.txn_id=TXN00077"", ""transactions.txn_id=TXN00078"", ""transactions.txn_id=TXN00079"", ""transactions.txn_id=TXN00081"", ""transactions.txn_id=TXN00082"", ""transactions.txn_id=TXN00083"", ""transactions.txn_id=TXN00084""]",2026-07-20T03:59:28.469724+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT019,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-0872bf7b,ALERT019,CLM-e23dd38f,missing_kyc_data,true,"[""evidence_items.item_type=risk_assessment_memo"", ""evidence_items.available=False""]",2026-07-20T03:59:28.469765+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT019,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-a5f7874b,ALERT020,CLM-df31a8c7,unusual_transaction_volume,true,"[""customers.expected_monthly_volume=5000.0"", ""transactions.txn_id=TXN00092"", ""transactions.txn_id=TXN00093"", ""transactions.txn_id=TXN00094"", ""transactions.txn_id=TXN00095"", ""transactions.txn_id=TXN00096"", ""transactions.txn_id=TXN00097"", ""transactions.txn_id=TXN00098"", ""transactions.txn_id=TXN00099"", ""transactions.txn_id=TXN00100"", ""transactions.txn_id=TXN00101""]",2026-07-20T03:59:31.301673+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT020,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-55b75eff,ALERT020,CLM-efd88e69,expected_activity_mismatch,true,"[""customers.customer_id=CUST0019"", ""customers.expected_monthly_volume=5000.0"", ""transactions.txn_id=TXN00093""]",2026-07-20T03:59:31.301758+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT020,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-14c57abb,ALERT020,CLM-a228a066,missing_kyc_data,true,"[""evidence_items.item_type=edd_review"", ""evidence_items.available=False""]",2026-07-20T03:59:31.301800+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT020,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-5e2c7c82,ALERT021,CLM-a1547330,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=5000.0"", ""transactions.txn_id=TXN00092"", ""transactions.txn_id=TXN00093"", ""transactions.txn_id=TXN00094"", ""transactions.txn_id=TXN00095"", ""transactions.txn_id=TXN00096"", ""transactions.txn_id=TXN00099"", ""transactions.txn_id=TXN00100"", ""transactions.txn_id=TXN00101""]",2026-07-20T03:59:34.385598+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT021,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-2ca04e47,ALERT021,CLM-ff035e8a,unusual_transaction_volume,true,"[""customers.expected_monthly_volume=5000.0"", ""transactions.txn_id=TXN00092"", ""transactions.txn_id=TXN00093"", ""transactions.txn_id=TXN00094"", ""transactions.txn_id=TXN00095"", ""transactions.txn_id=TXN00096"", ""transactions.txn_id=TXN00097"", ""transactions.txn_id=TXN00098"", ""transactions.txn_id=TXN00099"", ""transactions.txn_id=TXN00100"", ""transactions.txn_id=TXN00101""]",2026-07-20T03:59:34.385653+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT021,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-e567574c,ALERT021,CLM-3b7e5424,missing_kyc_data,true,"[""evidence_items.item_type=risk_assessment_memo"", ""evidence_items.available=False""]",2026-07-20T03:59:34.385678+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT021,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-12be895b,ALERT022,CLM-bd8258e4,stale_kyc_profile,true,"[""kyc_profile_status.current_within_12mo=False"", ""kyc_profile_status.last_updated=2025-01-06""]",2026-07-20T03:59:36.873977+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT022,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-9051e66f,ALERT022,CLM-e3368ae2,unusual_transaction_volume,true,"[""customers.expected_monthly_volume=20000.0"", ""transactions.txn_id=TXN00102"", ""transactions.txn_id=TXN00103"", ""transactions.txn_id=TXN00106"", ""transactions.txn_id=TXN00107""]",2026-07-20T03:59:36.874143+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT022,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-0d41bba0,ALERT022,CLM-f7a31baa,missing_kyc_data,true,"[""evidence_items.item_type=edd_review"", ""evidence_items.available=False""]",2026-07-20T03:59:36.874192+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT022,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-0aed89c2,ALERT023,CLM-c0846d18,stale_kyc_profile,true,"[""kyc_profile_status.current_within_12mo=False"", ""kyc_profile_status.last_updated=2024-09-17""]",2026-07-20T03:59:43.978061+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT023,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-9f169e38,ALERT023,CLM-2dbab2fb,unusual_transaction_volume,18746.0 aggregated outflows and inflows across 6 transactions in May 2026,"[""transactions.txn_id=TXN00110"", ""transactions.txn_id=TXN00111"", ""transactions.txn_id=TXN00112"", ""transactions.txn_id=TXN00113"", ""transactions.txn_id=TXN00114"", ""transactions.txn_id=TXN00115"", ""customers.expected_monthly_volume=12000.0""]",2026-07-20T03:59:43.978144+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT023,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-8f9f0891,ALERT023,CLM-6c1ead8f,missing_kyc_data,true,"[""evidence_items.item_type=risk_assessment_memo"", ""evidence_items.available=False""]",2026-07-20T03:59:43.978181+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT023,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-1f94839b,ALERT024,CLM-4a8f0999,stale_kyc_profile,true,"[""kyc_profile_status.current_within_12mo=False"", ""kyc_profile_status.last_updated=2024-09-17""]",2026-07-20T03:59:45.876709+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT024,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-1f756d14,ALERT024,CLM-89bce1e3,missing_kyc_data,true,"[""evidence_items.item_type=edd_review available=False""]",2026-07-20T03:59:45.876760+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT024,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-360e1139,ALERT025,CLM-1b766485,stale_kyc_profile,true,"[""kyc_profile_status.current_within_12mo=False"", ""kyc_profile_status.last_updated=2024-09-23""]",2026-07-20T03:59:49.153938+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT025,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-2c7779ea,ALERT025,CLM-8e08bb23,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=12000.0"", ""transactions.txn_id=TXN00116"", ""transactions.txn_id=TXN00117"", ""transactions.txn_id=TXN00118"", ""transactions.txn_id=TXN00119"", ""transactions.txn_id=TXN00120"", ""transactions.txn_id=TXN00121"", ""transactions.txn_id=TXN00122"", ""transactions.txn_id=TXN00123""]",2026-07-20T03:59:49.153984+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT025,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-1007431f,ALERT025,CLM-45159d76,missing_kyc_data,true,"[""evidence_items.item_type=risk_assessment_memo"", ""evidence_items.available=False""]",2026-07-20T03:59:49.154004+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT025,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-9f7fbef3,ALERT026,CLM-d4f332fa,expected_activity_mismatch,true,"[""customers.expected_monthly_volume=12000.0"", ""transactions.txn_id=TXN00124"", ""transactions.txn_id=TXN00125"", ""transactions.txn_id=TXN00126"", ""transactions.txn_id=TXN00127"", ""transactions.txn_id=TXN00128"", ""transactions.txn_id=TXN00129"", ""transactions.txn_id=TXN00130"", ""transactions.txn_id=TXN00131"", ""transactions.txn_id=TXN00132""]",2026-07-20T04:00:06.155369+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT026,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-0b0b902f,ALERT026,CLM-87f48743,missing_kyc_data,true,"[""evidence_items.item_type=edd_review"", ""customers.kyc_status=pending""]",2026-07-20T04:00:06.155465+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT026,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-5a59d15a,ALERT027,CLM-0d53d2a1,unusual_transaction_volume,true,"[""transactions.txn_id=TXN00133"", ""transactions.txn_id=TXN00134"", ""transactions.txn_id=TXN00135"", ""transactions.txn_id=TXN00136"", ""transactions.txn_id=TXN00137"", ""transactions.txn_id=TXN00138"", ""transactions.txn_id=TXN00139"", ""transactions.txn_id=TXN00140"", ""transactions.txn_id=TXN00141"", ""transactions.txn_id=TXN00142"", ""customers.expected_monthly_volume=20000.0""]",2026-07-20T04:00:08.522643+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT027,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
OUT-cff36531,ALERT027,CLM-02a36319,missing_kyc_data,true,"[""evidence_items.item_type=risk_assessment_memo"", ""alerts.alert_id=ALERT027""]",2026-07-20T04:00:08.522654+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT027,claude-haiku-4-5-20251001,DEMO-CAPTURE-REMAINING-V1
